-1000 1002 1000 1002 1024 1022 1024 1022 1000 3 0 3 36 33 36 33 1000 3 0 3 36 33 36 33 1000 2 0 2 24 22 24 22 1000 2 0 2 24 22 24 22 1000 3 0 3 36 33 36 33 1000 3 0 3 36 33 36 33 1000 0 0 0 0 0 0 0
0 -998 1002 1000 1022 1020 1022 1020 3 1003 3 0 33 30 33 30 3 1003 3 0 33 30 33 30 2 1002 2 0 22 20 22 20 2 1002 2 0 22 20 22 20 3 1003 3 0 33 30 33 30 3 1003 3 0 33 30 33 30 0 1000 0 0 0 0 0 0
0 0 -1000 1002 1024 1022 1024 1022 0 3 1000 3 36 33 36 33 0 3 1000 3 36 33 36 33 0 2 1000 2 24 22 24 22 0 2 1000 2 24 22 24 22 0 3 1000 3 36 33 36 33 0 3 1000 3 36 33 36 33 0 0 1000 0 0 0 0 0
0 0 0 -998 1022 1020 1022 1020 3 0 3 1003 33 30 33 30 3 0 3 1003 33 30 33 30 2 0 2 1002 22 20 22 20 2 0 2 1002 22 20 22 20 3 0 3 1003 33 30 33 30 3 0 3 1003 33 30 33 30 0 0 0 1000 0 0 0 0
0 0 0 0 -976 1002 1000 1002 36 33 36 33 1036 3 0 3 36 33 36 33 1036 3 0 3 24 22 24 22 1024 2 0 2 24 22 24 22 1024 2 0 2 36 33 36 33 1036 3 0 3 36 33 36 33 1036 3 0 3 0 0 0 0 1000 0 0 0
0 0 0 0 0 -978 1002 1000 33 30 33 30 3 1033 3 0 33 30 33 30 3 1033 3 0 22 20 22 20 2 1022 2 0 22 20 22 20 2 1022 2 0 33 30 33 30 3 1033 3 0 33 30 33 30 3 1033 3 0 0 0 0 0 0 1000 0 0
0 0 0 0 0 0 -976 1002 36 33 36 33 0 3 1036 3 36 33 36 33 0 3 1036 3 24 22 24 22 0 2 1024 2 24 22 24 22 0 2 1024 2 36 33 36 33 0 3 1036 3 36 33 36 33 0 3 1036 3 0 0 0 0 0 0 1000 0
0 0 0 0 0 0 0 -978 33 30 33 30 3 0 3 1033 33 30 33 30 3 0 3 1033 22 20 22 20 2 0 2 1022 22 20 22 20 2 0 2 1022 33 30 33 30 3 0 3 1033 33 30 33 30 3 0 3 1033 0 0 0 0 0 0 0 1000
0 0 0 0 0 0 0 0 -1000 1004 1000 1004 1048 1044 1048 1044 1000 0 0 0 0 0 0 0 1000 3 0 3 36 33 36 33 1000 3 0 3 36 33 36 33 1000 5 0 5 60 55 60 55 1000 5 0 5 60 55 60 55 1000 2 0 2 24 22 24 22
0 0 0 0 0 0 0 0 0 -996 1004 1000 1044 1040 1044 1040 0 1000 0 0 0 0 0 0 3 1003 3 0 33 30 33 30 3 1003 3 0 33 30 33 30 5 1005 5 0 55 50 55 50 5 1005 5 0 55 50 55 50 2 1002 2 0 22 20 22 20
0 0 0 0 0 0 0 0 0 0 -1000 1004 1048 1044 1048 1044 0 0 1000 0 0 0 0 0 0 3 1000 3 36 33 36 33 0 3 1000 3 36 33 36 33 0 5 1000 5 60 55 60 55 0 5 1000 5 60 55 60 55 0 2 1000 2 24 22 24 22
0 0 0 0 0 0 0 0 0 0 0 -996 1044 1040 1044 1040 0 0 0 1000 0 0 0 0 3 0 3 1003 33 30 33 30 3 0 3 1003 33 30 33 30 5 0 5 1005 55 50 55 50 5 0 5 1005 55 50 55 50 2 0 2 1002 22 20 22 20
